address,bathrooms,bedrooms,price,raw_text,scraped_at,square_meters,title,type,url
"Departamentos en arriendo Matucana Por Assetplan Chile $ 310.000 1 a 2 dormitorios 1 a 2 baños 32 - 49 m² útiles Av. Matucana 31, Santiago",2,2,310,"PROYECTO Departamentos en arriendo Matucana Por Assetplan Chile $ 310.000 1 a 2 dormitorios 1 a 2 baños 32 - 49 m² útiles Av. Matucana 31, Santiago, Barrio Yungay, Santiago Entrega inmediata Solicitud...",2025-07-27T20:40:30.296609,49,Matucana,Departamento,https://portalinmobiliario.com/MLC-1603325813-matucana-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Romero Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 33 - 53 m² útiles Romero 2349, Santiago",2,2,330,"PROYECTO Departamentos en arriendo Romero Por Assetplan Chile $ 330.000 1 a 2 dormitorios 1 a 2 baños 33 - 53 m² útiles Romero 2349, Santiago, Barrio Yungay, Santiago Entrega inmediata Solicitud onlin...",2025-07-27T20:40:30.296673,53,Romero,Departamento,https://portalinmobiliario.com/MLC-2866464418-romero-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Stage San Diego Por Assetplan Chile $ 293.000 1 a 2 dormitorios 1 a 2 baños 22 - 41 m² útiles San Diego 135, Santiago",2,2,293,"PROYECTO Departamentos en arriendo Stage San Diego Por Assetplan Chile $ 293.000 1 a 2 dormitorios 1 a 2 baños 22 - 41 m² útiles San Diego 135, Santiago, Bulnes, Santiago Entrega inmediata Solicitud o...",2025-07-27T20:40:30.296733,41,Stage San Diego,Departamento,https://portalinmobiliario.com/MLC-1607617999-stage-san-diego-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Espacio Oriente Ii Torre A Por Assetplan Chile $ 285.000 1 a 3 dormitorios 1 a 2 baños 27 - 43 m² útiles Sta. Elena 1278, Santiago",2,3,285,"PROYECTO Departamentos en arriendo Espacio Oriente Ii Torre A Por Assetplan Chile $ 285.000 1 a 3 dormitorios 1 a 2 baños 27 - 43 m² útiles Sta. Elena 1278, Santiago, Bogotá - Sierra Bella, Santiago E...",2025-07-27T20:40:30.296795,43,Espacio Oriente Ii Torre A,Departamento,https://portalinmobiliario.com/MLC-2798214084-espacio-oriente-ii-torre-a-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Nuevo Oriente Ii Por Assetplan Chile $ 426.000 2 dormitorios 2 baños 45 m² útiles Sta. Elena 1496, Santiago",2,2,426,"PROYECTO Departamentos en arriendo Nuevo Oriente Ii Por Assetplan Chile $ 426.000 2 dormitorios 2 baños 45 m² útiles Sta. Elena 1496, Santiago, Bogotá - Sierra Bella, Santiago Entrega inmediata Solici...",2025-07-27T20:40:30.296851,45,Nuevo Oriente Ii,Departamento,https://portalinmobiliario.com/MLC-2798121620-nuevo-oriente-ii-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Home Inclusive Ejército Por Assetplan Chile $ 325.000 1 a 2 dormitorios 1 a 2 baños 28 - 52 m² útiles Av. Ejército Libertador 71, Santiago",2,2,325,"PROYECTO Departamentos en arriendo Home Inclusive Ejército Por Assetplan Chile $ 325.000 1 a 2 dormitorios 1 a 2 baños 28 - 52 m² útiles Av. Ejército Libertador 71, Santiago, Ejército - Toesca, Santia...",2025-07-27T20:40:30.296908,52,Home Inclusive Ejército,Departamento,https://portalinmobiliario.com/MLC-2777821290-home-inclusive-ejercito-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Portugal Por Assetplan Chile $ 340.000 1 a 2 dormitorios 1 a 2 baños 31 - 48 m² útiles Av. Portugal 676, Barrio Diez De Julio, Santiago",2,2,340,"PROYECTO Departamentos en arriendo Portugal Por Assetplan Chile $ 340.000 1 a 2 dormitorios 1 a 2 baños 31 - 48 m² útiles Av. Portugal 676, Barrio Diez De Julio, Santiago Entrega inmediata Solicitud o...",2025-07-27T20:40:30.296965,48,Portugal,Departamento,https://portalinmobiliario.com/MLC-1503220223-portugal-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Edificio Santa Rosa Por Assetplan Chile $ 271.000 1 a 2 dormitorios 1 baño 30 - 38 m² útiles Av. Sta. Rosa 1185, Santiago",1,2,271,"PROYECTO Departamentos en arriendo Edificio Santa Rosa Por Assetplan Chile $ 271.000 1 a 2 dormitorios 1 baño 30 - 38 m² útiles Av. Sta. Rosa 1185, Santiago, Parque O'Higgins, Santiago Entrega inmedia...",2025-07-27T20:40:30.297029,38,Edificio Santa Rosa,Departamento,https://portalinmobiliario.com/MLC-2798187418-edificio-santa-rosa-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Fam Huemul Por Assetplan Chile $ 311.000 1 a 2 dormitorios 1 a 2 baños 27 - 48 m² útiles Centenario 1329, Santiago",2,2,311,"PROYECTO Departamentos en arriendo Fam Huemul Por Assetplan Chile $ 311.000 1 a 2 dormitorios 1 a 2 baños 27 - 48 m² útiles Centenario 1329, Santiago, Franklin - Biobío, Santiago Entrega inmediata Sol...",2025-07-27T20:40:30.297086,48,Fam Huemul,Departamento,https://portalinmobiliario.com/MLC-2851494484-fam-huemul-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Insitu Echaurren $ 331.967 Estudio a 2 dormitorios 1 a 2 baños 22 - 62 m² útiles Gorbea 2159, Santiago",2,2,331,"PROYECTO Departamentos en arriendo Insitu Echaurren $ 331.967 Estudio a 2 dormitorios 1 a 2 baños 22 - 62 m² útiles Gorbea 2159, Santiago, Chile, Barrio República, Santiago Entrega inmediata Solicitud...",2025-07-27T20:40:30.297149,62,Insitu Echaurren,Departamento,https://portalinmobiliario.com/MLC-2538366530-insitu-echaurren-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamentos en arriendo Edificio Argomedo $ 285.000 1 a 2 dormitorios 1 a 2 baños 20 - 54 m² útiles General Urriola 624, Santa Isabel, Santiago",2,2,285,"PROYECTO Departamentos en arriendo Edificio Argomedo $ 285.000 1 a 2 dormitorios 1 a 2 baños 20 - 54 m² útiles General Urriola 624, Santa Isabel, Santiago Pronta entrega 243 unidades disponibles Desta...",2025-07-27T20:40:30.297205,54,Edificio Argomedo,Departamento,https://portalinmobiliario.com/MLC-2560568258-edificio-argomedo-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento Matucana Id: 33163 Por Houm $ 200.000 2 dormitorios 1 baño 48 m² útiles Matucana, Parque Los Reyes, Santiago",1,2,200,"Departamento en arriendo Departamento Matucana Id: 33163 Por Houm $ 200.000 2 dormitorios 1 baño 48 m² útiles Matucana, Parque Los Reyes, Santiago Solicitud online de visita Destacado",2025-07-27T20:40:30.297257,48,Departamento Matucana Id: 33163,Departamento,https://portalinmobiliario.com/MLC-2933707106-departamento-matucana-id-33163-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento Lira Id: 90696 Por Houm $ 500.000 2 dormitorios 2 baños 60 m² útiles Lira, Santa Isabel, Santiago",2,2,500,"Departamento en arriendo Departamento Lira Id: 90696 Por Houm $ 500.000 2 dormitorios 2 baños 60 m² útiles Lira, Santa Isabel, Santiago Solicitud online de visita Destacado",2025-07-27T20:40:30.297309,60,Departamento Lira Id: 90696,Departamento,https://portalinmobiliario.com/MLC-2908176936-departamento-lira-id-90696-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento San Martín Id: 40221 Por Houm $ 280.000 1 dormitorio 1 baño 33 m² útiles San Martín, Centro Histórico De Santiago",1,1,280,"Departamento en arriendo Departamento San Martín Id: 40221 Por Houm $ 280.000 1 dormitorio 1 baño 33 m² útiles San Martín, Centro Histórico De Santiago, Santiago Solicitud online de visita Destacado",2025-07-27T20:40:30.297363,33,Departamento San Martín Id: 40221,Departamento,https://portalinmobiliario.com/MLC-1641552835-departamento-san-martin-id-40221-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento Avenida Beauchef Id: 101433 Por Houm $ 580.000 3 dormitorios 2 baños 77 m² útiles Avenida Beauchef, Parque O'Higgins, Santiago",2,3,580,"Departamento en arriendo Departamento Avenida Beauchef Id: 101433 Por Houm $ 580.000 3 dormitorios 2 baños 77 m² útiles Avenida Beauchef, Parque O'Higgins, Santiago Solicitud online de visita Destacad...",2025-07-27T20:40:30.297415,77,Departamento Avenida Beauchef Id: 101433,Departamento,https://portalinmobiliario.com/MLC-1641508523-departamento-avenida-beauchef-id-101433-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento Juan Martínez De Rozas Id: 127209 Por Houm $ 290.000 1 dormitorio 1 baño 30 m² útiles Juan Martínez De Rozas, Parque Los Reyes, Santiago",1,1,290,"Departamento en arriendo Departamento Juan Martínez De Rozas Id: 127209 Por Houm $ 290.000 1 dormitorio 1 baño 30 m² útiles Juan Martínez De Rozas, Parque Los Reyes, Santiago Solicitud online de visit...",2025-07-27T20:40:30.297470,30,Departamento Juan Martínez De Rozas Id: 127209,Departamento,https://portalinmobiliario.com/MLC-1641600499-departamento-juan-martinez-de-rozas-id-127209-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento San Francisco Id: 88903 Por Houm $ 440.000 2 dormitorios 2 baños 49 m² útiles San Francisco, San Diego, Santiago",2,2,440,"Departamento en arriendo Departamento San Francisco Id: 88903 Por Houm $ 440.000 2 dormitorios 2 baños 49 m² útiles San Francisco, San Diego, Santiago Solicitud online de visita Destacado",2025-07-27T20:40:30.297526,49,Departamento San Francisco Id: 88903,Departamento,https://portalinmobiliario.com/MLC-2867201898-departamento-san-francisco-id-88903-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento Miraflores Id: 156334 Por Houm $ 750.000 4 dormitorios 3 baños 110 m² útiles Miraflores, Centro Histórico De Santiago",3,4,750,"Departamento en arriendo Departamento Miraflores Id: 156334 Por Houm $ 750.000 4 dormitorios 3 baños 110 m² útiles Miraflores, Centro Histórico De Santiago, Santiago Solicitud online de visita Destaca...",2025-07-27T20:40:30.297580,110,Departamento Miraflores Id: 156334,Departamento,https://portalinmobiliario.com/MLC-2971885436-departamento-miraflores-id-156334-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento San Diego Id: 122693 Por Houm $ 399.500 2 dormitorios 2 baños 53 m² útiles San Diego, Franklin - Biobío, Santiago",2,2,399,"Departamento en arriendo Departamento San Diego Id: 122693 Por Houm $ 399.500 2 dormitorios 2 baños 53 m² útiles San Diego, Franklin - Biobío, Santiago Solicitud online de visita Destacado",2025-07-27T20:40:30.297634,53,Departamento San Diego Id: 122693,Departamento,https://portalinmobiliario.com/MLC-1629182491-departamento-san-diego-id-122693-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento Avenida Manuel Rodríguez Sur Id: 15519 Por Houm $ 530.000 2 dormitorios 2 baños 50 m² útiles Avenida Manuel Rodríguez Sur, Parque Almagro, Santiago",2,2,530,"Departamento en arriendo Departamento Avenida Manuel Rodríguez Sur Id: 15519 Por Houm $ 530.000 2 dormitorios 2 baños 50 m² útiles Avenida Manuel Rodríguez Sur, Parque Almagro, Santiago Solicitud onli...",2025-07-27T20:40:30.297686,50,Departamento Avenida Manuel Rodríguez Sur Id: 15519,Departamento,https://portalinmobiliario.com/MLC-2965561850-departamento-avenida-manuel-rodriguez-sur-id-15519-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento Arturo Prat Id: 132498 Por Houm $ 300.000 1 dormitorio 1 baño 37 m² útiles Arturo Prat, Parque O'Higgins, Santiago",1,1,300,"Departamento en arriendo Departamento Arturo Prat Id: 132498 Por Houm $ 300.000 1 dormitorio 1 baño 37 m² útiles Arturo Prat, Parque O'Higgins, Santiago Solicitud online de visita Destacado",2025-07-27T20:40:30.297740,37,Departamento Arturo Prat Id: 132498,Departamento,https://portalinmobiliario.com/MLC-1645814295-departamento-arturo-prat-id-132498-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
"Departamento en arriendo Departamento Amunátegui Id: 115257 Por Houm $ 500.000 2 dormitorios 2 baños 60 m² útiles Amunátegui, Centro Histórico De Santiago",2,2,500,"Departamento en arriendo Departamento Amunátegui Id: 115257 Por Houm $ 500.000 2 dormitorios 2 baños 60 m² útiles Amunátegui, Centro Histórico De Santiago, Santiago Solicitud online de visita Destacad...",2025-07-27T20:40:30.297794,60,Departamento Amunátegui Id: 115257,Departamento,https://portalinmobiliario.com/MLC-2867332366-departamento-amunategui-id-115257-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=9c718197-258f-4399-88e7-7fbd1283b79b
